id|Autor/a|Obra|Fecha de estreno|Dirección|Compañía|Festivales|Lugar de estreno|fechaFormat
35|Lope de Vega|Los locos de Valencia|15 de febrero de 2019|Antonio Algarra|Compañía Profesional de la Escuela Nacional de Arte Teatral, INBAL|nan|La Corrala del Mitote, México|0-00-00
36|Lope de Vega|La viuda Valenciana|12 de julio de 2019|Borja Rodríguez|Mic Producciones Teatrales|"Festival de Teatro Clásico de Almagro
"|Palacio de los Oviedo de Almagro (Ciudad Real)|0-00-00
37|Lope de Vega|La dama boba|8 de julio de 2019|Antonio Alcalde|Clásicos on the Road|"Festival de Teatro Clásico de Almagro
"|Ermita de la Magdalena de Almagro (Ciudad Real)|0-00-00
38|Lope de Vega|La dama boba|26 de mayo de 2019|Victoria Savelieva|Olympia Metropolitana S.A|nan|TAC Catarroja, Valencia|0-00-00
39|Lope de Vega|Fuenteovejuna o el coraje de las mujeres; Fuenteovejuna, el valor de las mujeres|12 de julio de 2019|Vagba Oboud de Sales y Luis Marqués|Alma Production|"Festival de Teatro Clásico de Almagro
"|Patio de Fúcares de Almagro (Ciudad Real)|0-00-00
40|Lope de Vega|El perro del Hortelano|5 de julio de 2019|José Vicente Gómez|El Taular Teatro|"Festival de Teatro Clásico de Almagro
"|En un coche Mercedes en Almagro|0-00-00
41|Lope de Vega|El perro del Hortelano|10 de agosto de 2019|Iker Ortiz de Zárate|Ortzai|nan|nan|0-00-00
42|Lope de Vega|Dos tablas y una pasión|8 de junio de 2019|Rafael Álvarez 'El Brujo'|Producciones El Brujo|Festival de Teatro Clásico de Cáceres|Sala Principal del Gran Teatro de Cáceres|0-00-00
43|Lope de Vega|La Gatomaquia|19 de julio de 2018|Laura Ferrer|La Coquèlicot|"Festival de Teatro Clásico de Almagro
"|Silo de Almagro (Ciudad Real)|0-00-00
44|Lope de Vega|La discreta enamorada|27 de julio de 2018|Santiago Doria|Compañía La Discreta Enamorada|"Festival de Teatro Clásico de Almagro
"|Corral de Comedias de Almagro (Ciudad Real)|0-00-00
45|Lope de Vega|El perro del Hortelano|nan|Alberto Gómez Taboada|Hilanderas Producciones|nan|nan|0-00-00
46|Lope de Vega|El castigo sin venganza|nan|Laura López Martínez|En la Luna Teatro|nan|nan|0-00-00
47|Lope de Vega|El castigo sin venganza|21 de noviembre de 2018|Helena Pimenta|Compañía Nacional de Teatro Clásico,CNTC|nan|Teatro de la Comedia de Madrid|0-00-00
48|Lope de Vega|Lo fingido verdadero|6 de julio de 2018|David Ojeda|Katum Teatro; Palmyra Teatro|"Festival de Teatro Clásico de Almagro
"|Teatro Municipal de Almagro (Ciudad Real)|0-00-00
49|Lope de Vega|Préstame tus palabras 3|nan|Alex Ruiz-Pastor|Joven Compañía Nacional de Teatro Clásico, JCNTC|nan|nan|0-00-00
50|Lope de Vega|La judía de Toledo|8 de marzo de 2017|Laila Ripoll|Compañía Nacional de Teatro Clásico,CNTC; Producciones Micomicón|nan|Teatro de la Comedia de Madrid.|0-00-00
51|Lope de Vega|La dama boba|28 de noviembre de 2017|Alfredo Sanzol|Joven Compañía Nacional de Teatro Clásico, JCNTC|nan|Teatro de la Comedia de Madrid.|0-00-00
52|Lope de Vega|La Araucana. Auto sacramental|26 de julio de 2017|Tania Faúndez Carreño|Teatro del Nuevo Mundo|"Festival de Teatro Clásico de Almagro
"|nan|0-00-00
53|Lope de Vega|Fuenteovejuna; Fuente Ovejuna|19 de mayo de 2017|Javier Hernández-Simón|Joven Compañía Nacional de Teatro Clásico, JCNTC|nan|Teatro de la Comedia de Madrid|0-00-00
54|Lope de Vega|El caballero de Olmedo|3 de noviembre de 2017|Eduardo Vasco|Noviembre Compañía de Teatro S.L|nan|nan|0-00-00
55|Lope de Vega|#Descuadra_2-Una comedia de enredo muy enredada-|10 de julio de 2017|Miguel Moreiras.|Pradana Teatro|"Festival de Teatro Clásico de Almagro
"|Ermita de San Ildefonso de Almagro|0-00-00
56|Lope de Vega|La villana de Getafe|20 de mayo de 2016|Roberto Cerdá|Joven Compañía Nacional de Teatro Clásico, JCNTC|nan|Teatro de la Comedia de Madrid|0-00-00
57|Lope de Vega|La discreta enamorada|17 de enero de 2016|Pedro Miguel Martínez|El Bucle|nan|Casa de Cultura de Burlada, Navarra|0-00-00
58|Lope de Vega|La boda entre dos maridos|nan|Ana de Santos y Romeo Urbano|Albricias Teatro|nan|nan|0-00-00
59|Lope de Vega|Fuente Ovejuna; Fuenteovejuna|nan|Pepa Gamboa|Atalaya - TNT|nan|Espectáculo TNT - El Vacíe|0-00-00
60|Lope de Vega|El perro del Hortelano|19 de octubre de 2016|Helena Pimenta|Compañía Nacional de Teatro Clásico,CNTC|nan|Teatro de la Comedia de Madrid|0-00-00
61|Lope de Vega|Mujeres y criados|29 de abril de 2015|Laurence Boswell y Rodrigo Arribas.|Fundación Siglo de Oro|nan|Teatro Español de Madrid|0-00-00
62|Lope de Vega|La dama boba (versión animal)|11 de julio de 2015|Ramón Gutiérrez Rojas|La Calderona|"Festival de Teatro Clásico de Almagro
"|Teatro Municipal de Almagro (Ciudad Real)|0-00-00
63|Lope de Vega|La dama boba|nan|Victoria Savelieva|Teatro Clásico Mediterráneo|nan|nan|0-00-00
64|Lope de Vega|Fuenteovejuna|2 de julio de 2015|Ángel Luis Martín Fernández|Vecinos de Fuente Obejuna|"Festival de Teatro Clásico de Almagro
"|Plaza Mayor de Almagro (Ciudad Real)|0-00-00
65|Lope de Vega|Fuenteovejuna; Fuente Ovejuna|8 de abril de 2015|José Luis Arellano|La Joven Compañía|nan|Teatro Conde Duque de Madrid|0-00-00
66|Lope de Vega|El príncipe ynocente|2015|nan|Efe Tres|nan|nan|0-00-00
67|Lope de Vega|El caballero de Olmedo|23 de abril de 2015|Juan Carlos Sanz|Valquiria Teatro|nan|Teatro Viñagrande de Alcorcón, Madrid|0-00-00
68|Lope de Vega|Las dos bandoleras|8 de mayo de 2014|Carme Portaceli|Compañía Nacional de Teatro Clásico,CNTC|nan|Teatro Pavón de Madrid|0-00-00
69|Lope de Vega|La dama boba|14 de febrero de 2014|Adolfo Carmona|Acteatro|nan|Teatro Oriente de Morón|0-00-00
70|Lope de Vega|La cortesía de España|3 de abril de 2014|Josep María Mestres|Joven Compañía Nacional de Teatro Clásico, JCNTC|nan|Naves del Español, Matadero Madrid|0-00-00
71|Lope de Vega|Fuenteovejuna|19 de junio de 2014|Pedro Casas|Compañía José Estruch. RESAD|nan|Claustro del Colegio del Rey de Alcalá de Henares, Madrid|0-00-00
72|Lope de Vega|El perro del Hortelano|6 de julio de 2014|Gustavo Funes|Producciones El Perro Andalook|nan|Plaza Vázquez de Molina de Úbeda, Jaén|0-00-00
73|Lope de Vega|El perro del Hortelano|5 de febrero de 2014|Laurence Boswell y Rafel Díez Labín|Compañía Rakatá - Fundación Siglo de Oro|Festival de Teatro de Málaga|Teatro Echegaray de Málaga|0-00-00
74|Lope de Vega|El castigo sin venganza|nan|Ernesto Arias|Compañía Rakatá - Fundación Siglo de Oro|nan|nan|0-00-00
75|Lope de Vega|El caballero de Olmedo|25 de abril de 2014|Antonio Barrios|Compañía de Teatro Clásico de Córdoba. Teatro Par|nan|"Sala Góngora del Gran Teatro de Córdoba
"|0-00-00
76|Lope de Vega|El caballero de Olmedo|21 de julio de 2014|Kei Jinguji|Ksec Act|Festival de Teatro Clásico de Olmedo|Corrala Palacio del Caballero de Olmedo (Valladolid)|0-00-00
77|Lope de Vega|El caballero de Olmedo|8 de febrero de 2014|Lluís Pasqual|Joven Compañía Nacional de Teatro Clásico, JCNTC|nan|Teatro Pavón de Madrid|0-00-00
78|Lope de Vega|Boba para los otros y discreta para sí|22 de julio de 2014|Rebeca Sanz-Conde|Lafinea Teatro|Festival de Teatro Clásico de Olmedo|Corrala Palacio Caballero de Olmedo (Valladolid)|0-00-00
79|Lope de Vega|Olmedo caballero El de; Testosterona|5 de julio de 2013|Nancho Novo|Microteatro Por Dinero|"Festival de Teatro Clásico de Almagro
"|Teatro Municipal de Almagro|0-00-00
80|Lope de Vega|La noche toledana|7 de mayo de 2013|Carlos Marchena|Joven Compañía Nacional de Teatro Clásico, JCNTC|nan|Teatro Pavón de Madrid|0-00-00
81|Lope de Vega|Los locos de Valencia|19 de junio de 2013|Juan Polanco|La Academia del Verso|Festival Clásicos de Alcalá|Teatro Salón Cervantes|0-00-00
82|Lope de Vega|Los celos; Olmedo caballero El|5 de julio de 2013|Sonia Sebastián|Microteatro Por Dinero|nan|Teatro Municipal de Almagro|0-00-00
83|Lope de Vega|La vengadora de mujeres|22 de julio de 2013|Carla Soto|De la Nada Teatro|"Festival de Teatro Clásico de Almagro
"|Almagro, Ciudad Real|0-00-00
84|Lope de Vega|La pasión; Olmedo caballero El de|5 de julio de 2013|Ana Risueño|Microteatro Por Dinero|"Festival de Teatro Clásico de Almagro
"|Teatro Municipal de Almagro|0-00-00
85|Lope de Vega|La estrella de Sevilla|27 de julio de 2013|Alfonso Zurro|Teatro Clásico de Sevilla|Festival de Teatro y Danza de Niebla|Festival de Teatro y Danza de Niebla|0-00-00
86|Lope de Vega|La discreta enamorada|30 de noviembre de 2013|Gonzala Martín Scherman|Factoría Teatro|nan|Centro Cultural Valdebernardo de Madrid|0-00-00
87|Lope de Vega|La dama boba|nan|Jorge Fullana|Espacio Imaginado|nan|nan|0-00-00
88|Lope de Vega|Fuenteovejuna. Breve tratado sobre las ovejas domésticas|25 de mayo de 2013|Ricard Soler i Mallol|Companyia Obskené|nan|Corral de Comedias de Alcalá de Henares (Madrid)|0-00-00
89|Lope de Vega|Fuenteovejuna; Fuente Ovejuna|nan|José Luis Arellano García|La Joven Compañía|nan|nan|0-00-00
90|Lope de Vega|Fuente Ovejuna. Ensayo desde la violencia; Fuente Ovejuna|19 de junio de 2013|César Barló|Almaviva Teatro|nan|"Corrala de la calle Montesinos n.º 56 de Aranjuez, Madrid
"|0-00-00
91|Lope de Vega|El subterráneo; Olmedo caballero El de|5 de julio de 2013|Fernanda Muchico y Miguel Alcantud|Microteatro Por Dinero|"Festival de Teatro Clásico de Almagro
"|Teatro Municipal de Almagro|0-00-00
92|Lope de Vega|El perro del Hortelano|2 de noviembre de 2013|del Colectivo|Zamamur Producciones|nan|nan|0-00-00
93|Lope de Vega|El perro del Hortelano|nan|Manuel Carcedo Sama|Karpas Teatro|nan|nan|0-00-00
94|Lope de Vega|El objeto de deseo; Olmedo caballero El de|5 de julio de 2013|Carlos Molinero|Microteatro Por Dinero|"Festival de Teatro Clásico de Almagro
"|nan|0-00-00
95|Lope de Vega|El caballero de Olmedo|2013|Antonio Raposo|Viento Sur Teatro|nan|nan|0-00-00
96|Lope de Vega|El caballero de Olmedo|22 de marzo de 2013|Felype de Lima|Secuencia 3 Artes y Comunicación|Festivales de Cantabria|Palacio de Festivales de Cantabria|0-00-00
97|Lope de Vega|Las flores de don Juan|2012|José Bornás|Apata Teatro|Festival Internacional de Teatro y Danza de San Javier|Festival Internacional de Teatro y Danza de San Javier|0-00-00
98|Lope de Vega|La discreta enamorada y doña Francisquita|nan|Juan Polanco|La Academia del Verso de Alcalá|nan|nan|0-00-00
99|Lope de Vega|La dama boba|23 de junio de 2012|Laila Ripoll|Producciones Micomicón|nan|Plaza de San Jorge de Cáceres|0-00-00
100|Lope de Vega|La dama boba|nan|Pilar Pérez Salcedo|La Fragua de los Sueños|nan|nan|0-00-00
101|Lope de Vega|Fingido y verdadero|13 de julio de 2012|Luis Miguel Cintra|Teatro da Cornucopia|"Festival de Teatro Clásico de Almagro
"|Antigua Universidad Renacentista de Almagro (Ciudad Real)|0-00-00
102|Lope de Vega|El premio del bien hablar|27 de enero de 2012|Carlos Martínez-Abarca|Valquiria Teatro|nan|Teatro Zorrilla de Valladolid|0-00-00
103|Lope de Vega|El perro del Hortelano|3 de julio de 2012|Josemi Rodríguez|Pata Teatro|nan|Museo de la Semana Santa de Málaga|0-00-00
104|Lope de Vega|El perro del Hortelano|15 de julio de 2012|Álvaro Morte|300 Pistolas Produccione|"Festival de Teatro Clásico de Almagro
"|Teatro La Veleta de Almagro (Ciudad Real)|0-00-00
105|Lope de Vega|El castigo sin venganza|20 de julio de 2012|Antonio Rojas|Seres Comunes|"Festival de Teatro Clásico de Almagro
"|Teatro La Veleta de Almagro (Ciudad Real)|0-00-00
106|Lope de Vega|El castigo sin venganza|26 de abril de 2012|María Rodríguez y Armando Jerez|Timaginas Teatro|nan|Teatro Guimerá de Santa Cruz de Tenerife|0-00-00
107|Lope de Vega|El Bobo del colegio|29 de junio de 2012|José Luis Fernández Puentes|In Vitro Teatro|Festival Clásicos de Alcalá|Patio del Instituto Cervantes de Alcalá de Henares|0-00-00
108|Lope de Vega|Los locos de Valencia|8 de junio de 2011|Antoni Tordera|Centre Teatral de la Generalitat|nan|Teatre Calderón de Alcoi, Alicante|0-00-00
109|Lope de Vega|El perro del Hortelano|1 de julio 2011|Eduardo Vasco|Compañía Nacional de Teatro Clásico (CNTC)|"Festival de Teatro Clásico de Almagro
"|Hospital de San Juan de Almagro (Ciudad Real)|0-00-00
110|Lope de Vega|El hospital de los podridos y otros entremeses del s. XXI|3 de junio de 2011|Cristina Yáñez|Tranvía Teatro|nan|Teatro de la Estación de Zaragoza|0-00-00
111|Lope de Vega|El castigo sin venganza|8 de julio de 2011|Francisco Civit|La Sudestada|"Festival de Teatro Clásico de Almagro
"|Corral de Comedias de Almagro (Ciudad Real)|0-00-00
112|Lope de Vega|El amor enamorado|22 de junio de 2011|Fefa Noia|Lacaimana|Festival Clásicos de Alcalá|Corral de Comedias de Alcalá de Henares (Madrid)|0-00-00
113|Lope de Vega|De Fuente Ovejuna a Ciudad Juárez|nan|Lucía Rodríguez Miranda|The Cross Border Project|nan|nan|0-00-00
114|Lope de Vega|Lo fingido verdadero|14 de julio de 2010|Claudio Hochman|La Máquina Real|"Festival de Teatro Clásico de Almagro
"|Corral de Comedias de Almagro (Ciudad Real)|0-00-00
115|Lope de Vega|La moza de cántaro|27 de marzo de 2010|Eduardo Vasco|Joven Compañía Nacional de Teatro Clásico, JCNTC;  Compañía Nacional de Teatro Clásico (CNTC)|nan|Teatro Juan Bravo de Segovia|0-00-00
116|Lope de Vega|La hermosa fea|30 de septiembre de 2010|Francisco García Vicente|La Tejedora de Sueños|nan|Teatro Jovellanos de Gijón (Asturias)|0-00-00
117|Lope de Vega|La dama boba|15 de enero de 2010|Jaroslaw Bielski|Compañía Réplika Teatro|nan|Teatro Juan Bravo de Segovia|0-00-00
118|Lope de Vega|El galán de la Membrilla|2 de julio de 2010|Antonio Malonda|Teatro Cachivaches|nan|Teatro Auditorio de Chinchilla (Albacete)|0-00-00
119|Lope de Vega|El castigo sin venganza|6 de noviembre de 2010|Ernesto Arias y Simon Brede|Compañía Rakatá|nan|nan|0-00-00
120|Lope de Vega|Peribáñez|26 de marzo de 2009|Amaya Curieses|Los Barracos|nan|Círculo de Bellas Artes de Madrid|0-00-00
121|Lope de Vega|Lope a lo-petit|30 de enero de 2009|María Martínez de Tejada|De Puntillas Danza-Teatro|nan|Centro Cultural Antonio Gala de La Rinconada (Sevilla)|0-00-00
122|Lope de Vega|La villana de Getafe|10 de julio de 2009|Domingo Ortega|Sociedad Estatal de Conmemoraciones Culturales, SECC; Grupo de Teatro de la Universidad Carlos III|"Festival de Teatro Clásico de Almagro
"|Patio Wessel de Almagro (Ciudad Real)|0-00-00
123|Lope de Vega|La niña de plata|2009|Ernesto Filardi|Aula de Teatro de la Universidad de Alcalá de Henares|nan|Aula de Teatro de la Universidad de Alcalá de Henares|0-00-00
124|Lope de Vega|La hermosa fea|15 de junio de 2009|Juan Manuel Casero|Diágoras Producciones|Festival de Teatro Clásico de Cáceres|Cáceres|0-00-00
125|Lope de Vega|La Gatomaquia|9 de julio de 2009|Héctor Manuel Vidal|La Cuarta Producciones|"Festival de Teatro Clásico de Almagro
"|Patio de Fúcares de Almagro (Ciudad Real)|0-00-00
126|Lope de Vega|La estrella de Sevilla|4 de febrero de 2009|Eduardo Vasco|Compañía Nacional de Teatro Clásico (CNTC)|nan|Teatro Calderón de Valladolid|0-00-00
127|Lope de Vega|Fuenteovejuna|24 de julio de 2009|Liuba Cid|Mefisto Teatro|"Festival de Teatro Clásico de Almagro
"|Antigua Universidad Renacentista de Almagro (Ciudad Real)|0-00-00
128|Lope de Vega|Fuenteovejuna|nan|Laurence Boswell|Rakatá|nan|nan|0-00-00
129|Lope de Vega|Fuenteovejuna|17 de julio de 2009|Kei Jinguji|Ksec Act|"Festival de Teatro Clásico de Almagro
"|Teatro Municipal de Almagro (Ciudad Real)|0-00-00
130|Lope de Vega|El perro del Hortelano|14 de abril de 2009|Gustavo Funes|El Ojo del Bululú|nan|nan|0-00-00
131|Lope de Vega|El perro del Hortelano|10 de julio de 2009|Juan Carlos Maestre|Radio Nacional de España|"Festival de Teatro Clásico de Almagro
"|Corral de Comedias de Almagro (Ciudad Real)|0-00-00
132|Lope de Vega|El desdichado por la honra. Cuento trágico|3 de julio de 2009|Rafael Ruiz Álvarez|Aula de Teatro de la Universidad de Granada|nan|nan|0-00-00
133|Pedro Calderón de la Barca| A secreto agravio, secreta venganza| 15 de junio de 2013| Lino Ferreira| El Óbolo Producciones| Festival Clásicos en Alcalá| Corral de Comedias de Alcalá de Henares (Madrid)|0-00-00
134|Pedro Calderón de la Barca| Otro gran teatro del mundo| 21 de diciembre de 2012| Olga Margallo| Uroc Teatro|nan| Teatro Pavón, Madrid|0-00-00
135|Pedro Calderón de la Barca| Lorca, Calderón y los estudiantes de Babel| 5 de julio de 2012| Toni Tordera| Escena Erasmus| Festival de Teatro Clásico de Almagro|Plaza de Santo Domingo de Almagro (Ciudad Real)|0-00-00
136|Pedro Calderón de la Barca| La vida es sueño: el bululú|nan| El Colectivo| El Aedo Teatro|nan|nan|0-00-00
137|Pedro Calderón de la Barca| La vida es sueño| 5 de julio de 2012| Helena Pimenta|CNTC| Festival de Teatro Clásico de Almagro| Hospital de San Juan de Almagro (Ciudad Real)|0-00-00
138|Pedro Calderón de la Barca| La gran Zenobia| 18 de febrero de 2012| Gustavo Galindo| Teatro Galo Real| Festival La Alternativa|nan|0-00-00
139|Pedro Calderón de la Barca| En la vida todo es verdad y todo mentira| 12 de enero de 2012| Ernesto Caballero|Compañía Nacional de Teatro Clásico (CNTC)|nan| Teatro Pavón, Madrid|0-00-00
140|Pedro Calderón de la Barca|Mañanas de abril y mayo|13 de abril|Laila Ripoll|nan|Festival de teatro clásico Castilla de Peñíscola|Teatro Fernán-Gómez de Madrid|0-00-00
141|Pedro Calderón de la Barca|La vida es sueño en sus versos esenciales|27 de julio|nan|Olmedo Clásico. Festival de Teatro Clásico de Olmedo|Festival de Teatro Clásico de Olmedo|Centro de Artes Escénicas San Pedro de Olmedo, Valladolid|0-00-00
142|Pedro Calderón de la Barca|La vida es sueño. Versión musical|1 de julio|Dirección: Macarena Baeza de la Fuente. Ayudante de dirección: Camila Gatica|Teatro la Calderona|nan|Casa Palacio de los Villarreal de Almagro, Ciudad Real|0-00-00
143|Pedro Calderón de la Barca|La vida es sueño|2 de julio|Dirección: Mariano de Paco. Ayudante de dirección: Daniel Alonso y Francisco Rivera.|Teatro Círculo|"
Festival Iberoamericano del Siglo de Oro: Clásicos en Alcalá"|Monasterio Cisterciense de San Bernardo de Alcalá de Henares, Madrid|0-00-00
144|Pedro Calderón de la Barca|La vida es sueño|14 de octubre|Dirección: Declan Donnellan. Ayudante de dirección: Josete Corral.|Cheek by Jowl; Compañía Nacional de Teatro Clásico,CNTC; Lazona|nan|Teatro Lope de Vega de Sevilla|0-00-00
145|Pedro Calderón de la Barca|La gran Cenobia|13 de enero|DIreccón: David Boceta|Compañía Nacional de Teatro Clásico,CNTC|nan|Sala Tirso de Molina del Teatro de la Comedia de Madrid|0-00-00
146|Pedro Calderón de la Barca|No hay burlas con el amor|11 de junio|Dirección escénica: Josete Corral. Ayudantía de dirección: Víctor Sainz.|Vida Cantina|Festival Clásicos en Alcalá|Centro Cultural Gilitos de Alcalá de Henares, dentro de la programación del Festival Iberoamericano del Siglo de Oro, Clásicos en Alcalá|0-00-00
147|Pedro Calderón de la Barca|Calderón, ¿enamorado?|17 de marzo|Amaya Curieses y José Maya|Zampanó Teatro|Jornadas de siglo de oro de Almería|nan|0-00-00
148|Tirso de Molina |El burlador de Sevilla y el convidado de piedra |19 de febrero de 2000|Isaac Benabeu |Associació d´Investigació i Experimentació Teatral |nan|Sala La Cuina de Barcelona |0-00-00
149|Tirso de Molina |El condenado por desconfiado |1 de noviembre de 2001|José Maya|Zampanó Teatro|Festival de Otoño|Teatro Pavón de Madrid|0-00-00
150|Tirso de Molina |El condenado por desconfiado |31 de enero de 2001|Eva del Palacio|Teatro Morboria|nan|Teartro Pradillo de Madrid|0-00-00
151|Tirso de Molina |Marta la piadosa|nan|José Antonio Aliaga|Aula de Teatro Andrés de Claramonte|nan|nan|0-00-00
152|Tirso de Molina |Don Gil de las calzas verdes|11 de julio de 2002|Fernando Urdiales|Galileo Teatro|nan|Teatro Liceo de Salamanca|0-00-00
153|Tirso de Molina |El burlador de Sevilla |28 de febrero de 2003|Miguel Narros|Compañía Nacional de Teatro Clásico (CNTC)|nan|Teatro Pavón de Madrid|0-00-00
154|Tirso de Molina |El burlador de Sevilla|12 de julio de 2003|Ricardo Camacho|Teatro Libre|Festival de Teatro Medieval y Clásico Ciudad de Chinchilla|Auditorio Municipal de Chinchilla (Albacete)|0-00-00
